window,comparison,symbol,n_episodes,n_rows,mean_delta_episode,mean_delta_row,mean_delta,n_negative,n_positive
A_TB1_to_TB2,MZ-M0,SC,803,10198,-0.3545939643227372,-0.5073210675788171,-0.3545939643227372,7837,2361
A_TB1_to_TB2,MZ-M0,SN,799,8462,-0.2570025945164455,-0.42799385849121724,-0.2570025945164455,6260,2202
A_TB1_to_TB2,MZ-M0,TA,701,6182,-0.2577922185891721,-0.35958540347308476,-0.2577922185891721,4418,1764
A_TB1_to_TB2,MF-MZ,AG,805,9126,0.21849049171327972,0.3598672041422137,0.21849049171327972,2554,6572
A_TB1_to_TB2,MF-MZ,AL,688,8437,0.28766088788833,0.5069606608341949,0.28766088788833,2314,6123
A_TB1_to_TB2,MF-MZ,AU,794,9476,0.19636554624280075,0.3264535986183614,0.19636554624280075,2696,6780
A_TB1_to_TB2,MF-MZ,CF,690,6075,0.2624787617107228,0.4273529670654609,0.2624787617107228,1931,4144
A_TB1_to_TB2,MF-MZ,CU,756,8333,0.20616743757855174,0.3274724571460023,0.20616743757855174,2443,5890
A_TB1_to_TB2,MF-MZ,I,698,6188,0.1862617068900846,0.32143451006206053,0.1862617068900846,1994,4194
A_TB1_to_TB2,MF-MZ,M,721,6136,0.21795784888193692,0.3344417605887103,0.21795784888193692,2045,4091
A_TB1_to_TB2,MF-MZ,MA,674,6109,0.21211646979655444,0.3154332391267024,0.21211646979655444,1998,4111
A_TB1_to_TB2,MF-MZ,NI,815,8435,0.19566459905380945,0.3431852604988495,0.19566459905380945,2582,5853
A_TB1_to_TB2,MF-MZ,P,669,6107,0.1469301674033533,0.21677330795909186,0.1469301674033533,2070,4037
A_TB1_to_TB2,MF-MZ,RB,707,6142,0.22037373244671243,0.33734218556662043,0.22037373244671243,1996,4146
A_TB1_to_TB2,MF-MZ,RU,718,6151,0.14228186346860763,0.22418171697194586,0.14228186346860763,2172,3979
A_TB1_to_TB2,MF-MZ,SC,803,10198,0.26305534638981143,0.39485547852292074,0.26305534638981143,2825,7373
A_TB1_to_TB2,MF-MZ,SN,799,8462,0.176619660617216,0.33638011375130494,0.176619660617216,2516,5946
A_TB1_to_TB2,MF-MZ,TA,701,6182,0.20493697263498162,0.3012505700027624,0.20493697263498162,1994,4188
B_TB1TB2_to_TB3,K1-K0,AG,741,8854,-1.6682091825378567,-1.8427798875556571,-1.6682091825378567,8181,673
B_TB1TB2_to_TB3,K1-K0,AL,724,7896,-1.7392964836130007,-1.7650749160599823,-1.7392964836130007,7266,630
B_TB1TB2_to_TB3,K1-K0,AU,821,9414,-1.7193739604782814,-1.7571191893351876,-1.7193739604782814,8610,804
B_TB1TB2_to_TB3,K1-K0,CF,680,5938,-1.5848882436182046,-1.502766396404889,-1.5848882436182046,5336,602
B_TB1TB2_to_TB3,K1-K0,CU,710,7877,-1.7667835864019361,-1.7979015834895897,-1.7667835864019361,7256,621
B_TB1TB2_to_TB3,K1-K0,I,679,6174,-1.6433631397371287,-1.6056663124304718,-1.6433631397371287,5559,615
B_TB1TB2_to_TB3,K1-K0,M,710,6141,-1.5506252539685499,-1.4288355420092653,-1.5506252539685499,5522,619
B_TB1TB2_to_TB3,K1-K0,MA,678,5786,-1.5451123491294347,-1.4595816479930657,-1.5451123491294347,5223,563
B_TB1TB2_to_TB3,K1-K0,NI,760,8058,-1.6549214909208585,-1.6970045888762462,-1.6549214909208585,7397,661
B_TB1TB2_to_TB3,K1-K0,P,681,6017,-1.644491975802211,-1.5203099757305176,-1.644491975802211,5498,519
B_TB1TB2_to_TB3,K1-K0,RB,704,6114,-1.571432929815991,-1.5525252037917525,-1.571432929815991,5522,592
B_TB1TB2_to_TB3,K1-K0,RU,722,6080,-1.5872028966509373,-1.4702539326774131,-1.5872028966509373,5512,568
B_TB1TB2_to_TB3,K1-K0,SC,787,9688,-1.6202851802885083,-1.655480910556343,-1.6202851802885083,8844,844
B_TB1TB2_to_TB3,K1-K0,SN,721,7662,-1.6984313542535743,-1.706204394036822,-1.6984313542535743,7023,639
B_TB1TB2_to_TB3,K1-K0,TA,691,5740,-1.6331237341559042,-1.575353287818071,-1.6331237341559042,5200,540
B_TB1TB2_to_TB3,MF-M0,AG,741,8854,-0.09483754674312626,-0.09363615020280444,-0.09483754674312626,6032,2822
B_TB1TB2_to_TB3,MF-M0,AL,724,7896,-0.04065170263378707,-0.07277953938303433,-0.04065170263378707,5251,2645
B_TB1TB2_to_TB3,MF-M0,AU,821,9414,-0.07198107278359783,-0.08350911444161828,-0.07198107278359783,6233,3181
B_TB1TB2_to_TB3,MF-M0,CF,680,5938,-0.05885362741593614,-0.05920815810674068,-0.05885362741593614,3617,2321
B_TB1TB2_to_TB3,MF-M0,CU,710,7877,-0.06636693942574466,-0.06683475158817742,-0.06636693942574466,5239,2638
B_TB1TB2_to_TB3,MF-M0,I,679,6174,-0.04693283601786086,-0.052431498617327994,-0.04693283601786086,3711,2463
B_TB1TB2_to_TB3,MF-M0,M,710,6141,-0.04706301838333638,-0.05388468241850234,-0.04706301838333638,3710,2431
B_TB1TB2_to_TB3,MF-M0,MA,678,5786,-0.061163933505012126,-0.060118263573936084,-0.061163933505012126,3552,2234
B_TB1TB2_to_TB3,MF-M0,NI,760,8058,-0.08082992877665683,-0.07817635766000383,-0.08082992877665683,5389,2669
B_TB1TB2_to_TB3,MF-M0,P,681,6017,-0.06100008101841245,-0.07286049263492814,-0.06100008101841245,3852,2165
B_TB1TB2_to_TB3,MF-M0,RB,704,6114,-0.052823598573554405,-0.059456684561008895,-0.052823598573554405,3767,2347
B_TB1TB2_to_TB3,MF-M0,RU,722,6080,-0.04768967990284901,-0.062168632739390765,-0.04768967990284901,3735,2345
B_TB1TB2_to_TB3,MF-M0,SC,787,9688,-0.0726441038152317,-0.07926081711916658,-0.0726441038152317,6485,3203
B_TB1TB2_to_TB3,MF-M0,SN,721,7662,-0.08680503207601031,-0.08545575265298005,-0.08680503207601031,5156,2506
B_TB1TB2_to_TB3,MF-M0,TA,691,5740,-0.05205802854696983,-0.05641870386558294,-0.05205802854696983,3522,2218
B_TB1TB2_to_TB3,MZ-M0,AG,741,8854,-0.28985066208515914,-0.46543023587961063,-0.28985066208515914,6620,2234
B_TB1TB2_to_TB3,MZ-M0,AL,724,7896,-0.23916092160348598,-0.37869476034392624,-0.23916092160348598,5883,2013
B_TB1TB2_to_TB3,MZ-M0,AU,821,9414,-0.2945030262695079,-0.4431326867466788,-0.2945030262695079,7009,2405
B_TB1TB2_to_TB3,MZ-M0,CF,680,5938,-0.26756409573194395,-0.371381284134203,-0.26756409573194395,4207,1731
B_TB1TB2_to_TB3,MZ-M0,CU,710,7877,-0.2505912922072257,-0.3662760530488941,-0.2505912922072257,5787,2090
B_TB1TB2_to_TB3,MZ-M0,I,679,6174,-0.24804367875502517,-0.32530019771274304,-0.24804367875502517,4500,1674
B_TB1TB2_to_TB3,MZ-M0,M,710,6141,-0.2435025147569809,-0.33757137781887003,-0.2435025147569809,4267,1874
B_TB1TB2_to_TB3,MZ-M0,MA,678,5786,-0.2366885488216157,-0.3045317981633945,-0.2366885488216157,3990,1796
B_TB1TB2_to_TB3,MZ-M0,NI,760,8058,-0.2583714155949032,-0.3730998387370917,-0.2583714155949032,5853,2205
B_TB1TB2_to_TB3,MZ-M0,P,681,6017,-0.22198224481963902,-0.3195219635644279,-0.22198224481963902,4218,1799
B_TB1TB2_to_TB3,MZ-M0,RB,704,6114,-0.26861619875755244,-0.3985847989979045,-0.26861619875755244,4361,1753
B_TB1TB2_to_TB3,MZ-M0,RU,722,6080,-0.22668392670017906,-0.2997040737119195,-0.22668392670017906,4161,1919
B_TB1TB2_to_TB3,MZ-M0,SC,787,9688,-0.28811887054346663,-0.3925654153302263,-0.28811887054346663,7297,2391
B_TB1TB2_to_TB3,MZ-M0,SN,721,7662,-0.289393003104718,-0.4114012267500372,-0.289393003104718,5611,2051
B_TB1TB2_to_TB3,MZ-M0,TA,691,5740,-0.21412387811273187,-0.27482647567732416,-0.21412387811273187,4003,1737
B_TB1TB2_to_TB3,MF-MZ,AG,741,8854,0.19501311534203286,0.3717940856768061,0.19501311534203286,2553,6301
B_TB1TB2_to_TB3,MF-MZ,AL,724,7896,0.19850921896969892,0.30591522096089185,0.19850921896969892,2327,5569
B_TB1TB2_to_TB3,MF-MZ,AU,821,9414,0.22252195348591014,0.3596235723050606,0.22252195348591014,2749,6665
B_TB1TB2_to_TB3,MF-MZ,CF,680,5938,0.20871046831600784,0.31217312602746233,0.20871046831600784,1944,3994
B_TB1TB2_to_TB3,MF-MZ,CU,710,7877,0.184224352781481,0.2994413014607167,0.184224352781481,2365,5512
B_TB1TB2_to_TB3,MF-MZ,I,679,6174,0.2011108427371643,0.2728686990954151,0.2011108427371643,1913,4261
B_TB1TB2_to_TB3,MF-MZ,M,710,6141,0.1964394963736445,0.28368669540036767,0.1964394963736445,2068,4073
B_TB1TB2_to_TB3,MF-MZ,MA,678,5786,0.17552461531660354,0.2444135345894584,0.17552461531660354,2016,3770
B_TB1TB2_to_TB3,MF-MZ,NI,760,8058,0.17754148681824633,0.2949234810770878,0.17754148681824633,2479,5579
B_TB1TB2_to_TB3,MF-MZ,P,681,6017,0.1609821638012266,0.24666147092949983,0.1609821638012266,2027,3990
B_TB1TB2_to_TB3,MF-MZ,RB,704,6114,0.21579260018399804,0.3391281144368956,0.21579260018399804,1979,4135
B_TB1TB2_to_TB3,MF-MZ,RU,722,6080,0.17899424679733006,0.23753544097252868,0.17899424679733006,2104,3976
B_TB1TB2_to_TB3,MF-MZ,SC,787,9688,0.2154747667282349,0.3133045982110597,0.2154747667282349,2761,6927
B_TB1TB2_to_TB3,MF-MZ,SN,721,7662,0.20258797102870768,0.3259454740970572,0.20258797102870768,2301,5361
B_TB1TB2_to_TB3,MF-MZ,TA,691,5740,0.16206584956576203,0.2184077718117412,0.16206584956576203,1950,3790
